Mfg Part Num	Mfg Name	VID	Vendor Part Num	Description	Vendor Qty 1	Vendor Qty 2	Vendor Qty 3	Customer Ref	Price Qty 1	Price Qty 2	Price Qty 3	Vendor Reel Part Num	Vendor Link	Datasheet Link	VID2	Vendor 2 Part Num	Vendor 2 Derivate Part Num	Vendor 2 Price Qty 1	Vendor 2 Link
MF-FSMF050X-2	Bourns Inc.	DK	MF-FSMF050X-2CT-ND	FUSE PTC RESET 500MA SMD 0603	10	100	500		0.36	0.33	0.312	MF-FSMF050X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF050X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF050X-2	MF-FSMF050X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF050X-2/?qs=3QkGRBNOvbrZekaW8Gqm4A%3d%3d
MF-FSMF020X-2	Bourns Inc.	DK	MF-FSMF020X-2CT-ND	FUSE PTC RESET 200MA SMD 0603	10	100	500		0.36	0.33	0.312	MF-FSMF020X-2DKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=MF-FSMF020X-2CT-ND	http://www.bourns.com/data/global/pdfs/mffsmf.pdf	ME	652-MFFSMF020X-2	MF-FSMF020X-2	0.448	http://at.mouser.com/ProductDetail/Bourns/MF-FSMF020X-2/?qs=3QkGRBNOvbqaTWjqPUQNsg%3d%3d
C1608Y5V1C225Z	TDK Corporation	DK	445-3451-1-ND	CAP CER 2.2UF 16V Y5V 0603	10	100	500		0.088	0.052	0.03	445-3451-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=445-3451-1-ND	http://www.tdk.com/pdf/general_A11.pdf	ME	810-C1608Y5V1C225Z	C1608Y5V1C225Z	0.085	http://at.mouser.com/ProductDetail/TDK/C1608Y5V1C225Z/?qs=sGAEpiMZZMvQvaS66kI3Tk6Pvfi1sRGO1Mj%252bJU27Qrg%3d
CC0402JRNP09BN100	Yageo	DK	311-1014-1-ND	CAP CERAMIC 10PF 50V NP0 0402	10	100	500		0.012	0.007	0.00406	311-1014-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1014-1-ND	http://www.yageo.com/documents/recent/UPY-GP_NP0_16V-to-50V_6.pdf	ME	581-04023U100JAT2A	04023U100JAT2A	0.032	http://at.mouser.com/ProductDetail/AVX/04023U100JAT2A/?qs=sGAEpiMZZMvQvaS66kI3TihUrlW%252bJjiJUf9DY1cdM5I%3d
RC0402FR-0739K2L	Yageo	DK	311-39.2KLRCT-ND	RES 39.2K OHM 1/16W 1% 0402 SMD	10	50	200		0.067	0.0362	0.02085	311-39.2KLRDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-39.2KLRCT-ND	http://www.yageo.com/documents/recent/PYu-RC0402_51_RoHS_L_6.pdf	ME	304-39.2K-RC	304-39.2K-RC	0.045	http://at.mouser.com/ProductDetail/Xicon/304-392K-RC/?qs=sGAEpiMZZMtG0KNrPCHnjZ81IsZ41qnEdwGMvS7VK3o%3d					
ERJ-2GEJ680X	Panasonic - ECG	DK	P68JCT-ND	RES 68 OHM 1/10W 5% 0402 SMD	1	50	100		0.05	0.0172	0.0131	P68JDKR-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P68JCT-ND	http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+AOA0001+ERJ2GEJ680X+7+WW										
CC0402ZRY5V7BB104	TDK	ME	810-C1005X7R1C104M	CAP .10UF 16V CERAMIC Y7R 0402	10	100	500		0.032	0.01	0.009	810-C1005X7R1C104M	http://at.mouser.com/ProductDetail/TDK/C1005X7R1C104M/?qs=sGAEpiMZZMvQvaS66kI3Ts8kcYAvnUrc2X3P8fTRlAY%3d	http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/MLCC%20ordering%20code.pdf					
SM06B-SRSS-TB	JST	DK	455-1806-1-ND	CONN HEADER SH 6POS SIDE 1MM TIN	10	100	500		0.653	0.5445	0.4356	455-1806-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=455-1806-1-ND	http://www.jst-mfg.com/product/pdf/eng/eSH.pdf										
ABM3B-8.000MHZ-10-1-U-T	Abracon Corporation	DK	535-9721-1-ND	CRYSTAL 8.000 MHZ 10PF SMD	10	50	100		2.048	1.7956	1.4175	535-9721-6-ND	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=535-9721-1-ND	http://www.abracon.com/Resonators/abm3b.pdf	ME	815-ABM3B-8.0-B2-T	ABM3B-8.000MHZ-B2-T	1.01	http://at.mouser.com/ProductDetail/ABRACON/ABM3B-8000MHZ-B2-T/?qs=NE97hfUNX0Ef9OqIOqO2cA%3d%3d
STM32F100C6T6B	STMicroelectronics	DK	497-10500-ND	MCU 32BIT ARM 32K FLASH 48LQFP	10	100	250		2.55	2.091	1.887		http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=497-10500-ND	http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00251732.pdf	ME	511-STM32F100C6T6B	STM32F100C6T6B	2.77	http://at.mouser.com/ProductDetail/STMicroelectronics/STM32F100C6T6B/?qs=sGAEpiMZZMs%2f2%2fdgfKIueKwtjHOoM53O
